x,w
9.0729138119371906e-08,4.7308176648117935e-05
1.0754812618397274e-07,7.5897821199339468e-05
1.274849478947502e-07,0.00012176044765442536
1.5111757420976038e-07,0.00019532472312901641
1.7913111792535657e-07,0.00031330445495656551
2.1233769518195105e-07,0.00050246883941146563
2.5169996881262673e-07,0.00080564653148321641
2.9835905605921983e-07,0.0012912431449592526
3.5366760970406207e-07,0.0020682150481381358
4.1922903164353133e-07,0.0033093358944107976
4.9694395570981853e-07,0.0052865957976047512
5.8906534728373886e-07,0.0084231118693347436
6.9826381704325436e-07,0.013364182641510933
8.2770504230146708e-07,0.021061184257500185
9.8114154038835818e-07,0.03283418865239035
1.1630214545981065e-06,0.050308599110982247
1.3786175064202249e-06,0.074972490247039225
1.6341798523958313e-06,0.10687420243129277
1.9371172769384782e-06,0.14191775621357969
2.2962119739220922e-06,0.16831894697211947
2.7218741435811587e-06,0.16688772578059691
3.2264437855191834e-06,0.12479861071788809
3.8245484368425076e-06,0.060139217315958997
4.5335272262928135e-06,0.014757690733585929
5.3739335377606995e-06,0.001300849693469735
6.3701308554585337e-06,2.4103399789457788e-05
7.5509990643788043e-06,3.908206491805746e-08
8.9507716817766072e-06,1.3012832340906587e-12
1.0610028291121878e-05,0
1.2576870949305944e-05,0
1.4908318671294561e-05,0
1.7671960418512173e-05,0
2.0947914511297661e-05,0
2.4831151269044047e-05,0
2.9434246211650761e-05,0
3.4890643637943208e-05,0
4.1358525192606756e-05,0
4.9025395571875012e-05,0
5.8113518308154429e-05,0
6.8886359217662795e-05,0
